,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
10435,AGGH,medium_airport,Honiara International Airport,28.0,OC,SB,SB-CT,Honiara,AGGH,HIR,,"-9.4280004501343, 160.05499267578"
10436,AGGI,small_airport,Babanakira Airport,,OC,SB,SB-GU,Mbambanakira,AGGI,MBU,,"-9.7475004196167, 159.83900451660156"
10437,AGGJ,small_airport,Avu Avu Airport,25.0,OC,SB,SB-GU,,AGGJ,AVU,,"-9.86833333333, 160.410555556"
10438,AGGK,small_airport,Ngorangora Airport,54.0,OC,SB,SB-MK,Kirakira,AGGK,IRA,,"-10.449700355500001, 161.897994995"
10439,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,18.0,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ,,"-10.72029972076416, 165.7949981689453"
10440,AGGM,medium_airport,Munda Airport,10.0,OC,SB,SB-WE,,AGGM,MUA,,"-8.327969551086426, 157.26300048828125"
10441,AGGN,small_airport,Nusatupe Airport,13.0,OC,SB,SB-WE,Gizo,AGGN,GZO,,"-8.09778022766, 156.863998413"
10442,AGGO,small_airport,Mono Airport,,OC,SB,SB-WE,Stirling Island,AGGO,MNY,,"-7.416940212249756, 155.56500244140625"
10443,AGGP,small_airport,Parasi Airport,,OC,SB,SB-ML,Parasi,AGGP,PRS,,"-9.641670227050781, 161.4250030517578"
10444,AGGQ,closed,Ontong Java Atoll Airstrip,10.0,OC,SB,SB-ML,Ontong Java Atoll,AGGQ,OTV,,"-5.515, 159.527777778"
10445,AGGR,small_airport,Rennell/Tingoa Airport,,OC,SB,SB-RB,Rennell Island,AGGR,RNL,,"-11.533900260925293, 160.06300354003906"
10446,AGGS,small_airport,Sege Airport,,OC,SB,SB-WE,Sege,AGGS,EGM,,"-8.578889846801758, 157.87600708007812"
10447,AGGT,small_airport,Santa Ana Airport,3.0,OC,SB,SB-MK,Santa Ana Island,AGGT,NNB,,"-10.847994, 162.454108"
10448,AGGU,small_airport,Marau Airport,,OC,SB,SB-GU,Marau,AGGU,RUS,,"-9.861669540409999, 160.824996948"
10449,AGGV,small_airport,Suavanao Airport,,OC,SB,SB-IS,Suavanao,AGGV,VAO,,"-7.585559844970703, 158.7310028076172"
10450,AGGY,small_airport,Yandina Airport,60.0,OC,SB,SB-CE,Yandina,AGGY,XYA,,"-9.092816, 159.21841"
10452,AGK,small_airport,Kagua Airport,5350.0,OC,PG,PG-SHM,Kagua,,AGK,,"-6.396388888890001, 143.853611111"
10453,AGKG,small_airport,Kaghau Airport,30.0,OC,SB,SB-CH,Kagau Island,AGKG,KGE,,"-7.3305, 157.585"
10454,AGKU,small_airport,Kukudu Airport,32.0,OC,SB,SB-WE,Kolombangara Island,AGKU,KUE,,"-8.0262, 156.94783"
10455,AGKW,small_airport,Kwailabesi Airport,52.0,OC,SB,SB-ML,Kwailabesi,AGKW,KWS,,"-8.360508, 160.775127"
10456,AGL,small_airport,Wanigela Airport,53.0,OC,PG,PG-NPP,,AYWG,AGL,WGL,"-9.3375, 149.155555556"
10457,AGNA,small_airport,Nana Airport,60.0,OC,SB,SB-MK,Star Harbor,AGNA,NAZ,,"-10.6758, 162.2049"
10458,AGRC,small_airport,Ringi Cove Airport,,OC,SB,SB-WE,Ringi Cove,AGRC,RIN,,"-8.12639045715332, 157.14300537109375"
10459,AGRM,small_airport,Ramata Airport,,OC,SB,SB-WE,Ramata,AGRM,RBV,,"-8.168060302734375, 157.64300537109375"
10460,AGTI,heliport,Tulaghi Heliport,3.0,OC,SB,SB-CE,Tulaghi Island,AGTI,TLG,,"-9.108, 160.149166667"
10461,AGY,small_airport,Argyle Downs Airport,407.0,OC,AU,AU-WA,Argyle Downs,,AGY,,"-16.514, 128.9245"
